#,Page,DA,PA,SS,MR,Index Pages
8,rockleyphotonics.com,44,43,1,4.3,🗎
9,honeylaw.com,16,29,1,2.9,🗎
10,www.damfirm.com,38,40,1,4,🗎
11,www.occourts.org,55,55,1,5.5,🗎
12,www.juanlagunaesq.com,5,17,23,1.7,🗎
13,www.recordgone.com,40,49,5,4.9,🗎
14,www.glennstuckey.com,6,21,1,2.1,🗎
15,www.chamberslawfirmca.com,33,34,1,3.4,🗎
16,www.hn-lawyers.com,18,30,31,3,🗎
17,www.joannawong.net,3,8,30,0.8,🗎
18,www.hallgriffin.com,9,25,1,2.5,🗎
19,www.whwlawcorp.com,17,20,3,2,🗎
1,www.fullmanfirm.com,19,33,0,3.3,🗎
2,www.taylorlaw.com,27,35,2,3.5,🗎
3,www.communitylegalsocal.org,37,38,5,3.8,🗎
4,orangecountyda.org,57,47,1,4.7,🗎
5,www.robertreeveslaw.com,41,51,1,5.1,🗎
6,www.mrclawcorp.com,12,24,1,2.4,🗎
7,www.lawofficesofarturonieto.com,1,6,0,0.6,🗎
8,www.ljdfa.com,24,33,15,3.3,🗎
9,tonglawoffice.com,5,23,2,2.3,🗎
10,watsonlaw.org,9,19,2,1.9,🗎
11,www.aitkenlaw.com,35,41,1,4.1,🗎
12,sitzerlegal.com,10,17,32,1.7,🗎
13,www.reickerpfau.com,29,35,3,3.5,🗎
14,www.bamiehdesmeth.com,35,31,1,3.1,🗎
15,santabarbaraestateplanner.com,10,26,1,2.6,🗎
16,ttfhlaw.com,15,24,1,2.4,🗎
17,rogerssheffield.com,25,34,5,3.4,🗎
18,www.mccarthykroes.com,18,30,1,3,🗎
19,lamedialaw.com,3,9,47,0.9,🗎
20,cappellonoel.com,32,32,0,3.2,🗎
1,sbimmigrantdefense.org,23,16,1,1.6,🗎
2,www.fabianlaw.com,28,36,0,3.6,🗎
3,www.mullenlaw.com,23,34,3,3.4,🗎
4,www.attorneypenner.com,11,30,0,3,🗎
5,www.millerberryhill.com,3,10,0,1,🗎
6,www.maleyfirm.com,5,18,0,1.8,🗎
7,brehtchristian.com,7,12,0,1.2,🗎
8,flasllp.com,1,40,0,4,🗎
9,www.countyofsb.org,63,56,11,5.6,🗎
10,umbra.space,32,34,10,3.4,🗎
11,www.sangerswysen.com,25,33,1,3.3,🗎
12,topsanjoselawyer.com,13,20,4,2,🗎
13,www.bal.com,46,41,2,4.1,🗎
14,michaelrichterlaw.com,10,17,3,1.7,🗎
15,www.housing.org,45,43,0,4.3,🗎
16,www.magstonelaw.com,12,30,29,3,🗎
17,codex.legal,7,14,3,1.4,🗎
18,www.valencialawyer.com,18,34,1,3.4,🗎
19,www.seniorlegal.org,22,32,13,3.2,🗎
1,www.breretonlawoffice.com,14,25,2,2.5,🗎
2,www.letonalaw.com,13,26,8,2.6,🗎
3,dbecker-familylaw.com,9,25,6,2.5,🗎
4,www.santacruzdefenders.us,8,13,0,1.3,🗎
5,bodmerlaw.com,10,19,0,1.9,🗎
6,nelsontrustlaw.com,3,3,1,0.3,🗎
7,macintyrewhite.com,1,1,0,0.1,🗎
8,www.californiasocialsecurityattorney.com,19,33,1,3.3,🗎
9,buckleyfirm.com,52,42,1,4.2,🗎
10,www.cfli.com,41,42,2,4.2,🗎
11,costell-law.com,12,33,3,3.3,🗎
12,www.boeschlawgroup.com,29,36,7,3.6,🗎
13,www.hirschlerlaw.com,37,36,2,3.6,🗎
14,www.blockchain.com,81,67,3,6.7,🗎
15,www.davidmfeldman.com,10,25,3,2.5,🗎
16,www.douglasemmett.com,41,45,1,4.5,🗎
17,hellotomo.com,31,40,17,4,🗎
18,www.bartonesq.com,32,38,1,3.8,🗎
19,www.robinscloud.com,26,31,1,3.1,🗎
20,www.payne-law.com,13,23,4,2.3,🗎
1,www.bclplaw.com,59,46,3,4.6,🗎
2,www.eezlaw.com,26,34,4,3.4,🗎
3,legalaidsc.org,30,39,1,3.9,🗎
4,jcarrolllaw.com,12,26,0,2.6,🗎
5,winecountryfamilylaw.com,24,33,1,3.3,🗎
6,www.alisonronaldlaw.com,4,12,0,1.2,🗎
7,www.injuredworkerlaw.com,18,33,2,3.3,🗎
8,www.perrylaw.net,26,36,16,3.6,🗎
9,www.berryfritzlaw.com,7,25,2,2.5,🗎
10,www.majlaw.com,26,33,1,3.3,🗎
11,menglandlaw.com,13,27,1,2.7,🗎
12,www.abbeylaw.com,23,35,1,3.5,🗎
13,weltyweaver.com,14,20,0,2,🗎
14,www.smlaw.com,21,32,6,3.2,🗎
15,www.olrichlaw.com,11,24,1,2.4,🗎
16,provencherandflatt.com,19,31,1,3.1,🗎
17,www.cmprlaw.com,27,35,5,3.5,🗎
18,www.frigolaw.com,18,31,1,3.1,🗎
19,johnstonthomas.com,24,33,38,3.3,🗎
20,darylreeselaw.com,7,7,0,0.7,🗎
1,www.hansenmiller.com,22,33,2,3.3,🗎
2,www.hinshaw-law.com,14,28,12,2.8,🗎
3,halesgeorge.com,20,25,25,2.5,🗎
4,perfecttiming.com,20,34,21,3.4,🗎
5,www.privatejudge.org,12,18,34,1.8,🗎
6,www.imdb.com,95,86,5,8.6,🗎
7,www.gweineratty.com,5,12,0,1.2,🗎
8,www.kassabianlaw.com,14,26,0,2.6,🗎
9,employerdefenseattorney.com,8,18,5,1.8,🗎
10,www.grutmanlaw.com,1,9,0,0.9,🗎
11,www.homampour.com,22,34,1,3.4,🗎
12,lmlalaw.com,12,29,10,2.9,🗎
13,goldwasser-law.com,1,5,40,0.5,🗎
14,www.alpertbarr.com,26,32,4,3.2,🗎
15,www.stubbsalderton.com,36,36,8,3.6,🗎
16,worklawyerca.com,26,43,5,4.3,🗎
17,www.reisnerking.com,20,31,2,3.1,🗎
18,phoebestonelaw.com,3,8,0,0.8,🗎
19,www.la-criminal-defense.com,21,34,22,3.4,🗎
1,stubbsalderton.com,36,40,8,4,🗎
2,www.vylawfirm.com,18,26,8,2.6,🗎
3,thesweeneylawfirm.com,9,19,6,1.9,🗎
4,www.meyersohara.com,14,27,1,2.7,🗎
5,www.accidentattorney1.com,1,3,0,0.3,🗎
6,www.pswlaw.com,26,36,11,3.6,🗎
7,thegreenlawgroup.com,26,30,0,3,🗎
8,weberdisputeresolution.com,22,31,1,3.1,🗎
9,ebowmanlaw.com,1,13,19,1.3,🗎
10,opus.attorney,15,23,13,2.3,🗎
11,sdinjury.com,21,33,6,3.3,🗎
12,www.globallegallawfirm.com,28,33,1,3.3,🗎
13,www.tannalaw.com,8,26,1,2.6,🗎
14,www.federation.bio,21,32,8,3.2,🗎
15,intervenn.com,33,35,7,3.5,🗎
16,www.hollyhanover.com,7,19,28,1.9,🗎
17,stanfordhealthcare.org,68,58,1,5.8,🗎
18,www.mwjustice.com,6,11,16,1.1,🗎
19,mlllaw.com,18,27,0,2.7,🗎
20,herumcrabtree.com,26,30,1,3,🗎
1,vstriallawyers.com,16,21,1,2.1,🗎
2,wildlandsnetwork.org,48,44,1,4.4,🗎
3,www.stocktoninjury.com,18,27,1,2.7,🗎
4,www.lubkwc.com,18,21,8,2.1,🗎
5,www.tabaklaw.com,18,28,50,2.8,🗎
6,freemanfirm.com,15,28,9,2.8,🗎
7,abramsonlaborgroup.com,16,31,1,3.1,🗎
8,www.castelblanco.com,19,35,1,3.5,🗎
9,www.fermalaw.com,6,22,0,2.2,🗎
10,yglegalfirm.com,7,16,0,1.6,🗎
11,erichartnettlaw.com,14,31,1,3.1,🗎
12,www.dickinson-wright.com,50,49,3,4.9,🗎
13,www.egtlawfirm.com,1,1,11,0.1,🗎
14,www.ooma.com,60,58,3,5.8,🗎
15,www.goldfarbluu.com,18,29,1,2.9,🗎
16,socalthesyndicate.com,22,38,1,3.8,🗎
17,nisansteinberg.com,1,1,0,0.1,🗎
18,lyonlaw-ip.com,1,9,0,0.9,🗎
19,thezuckerlawfirm.com,19,31,1,3.1,🗎
20,www.mytrustee.net,17,30,15,3,🗎
1,www.lobbplewe.com,18,31,4,3.1,🗎
2,newhouseandcreager.com,10,28,22,2.8,🗎
3,alikhani-law.com,7,10,12,1,🗎
4,www.blackcompeanhalleli.com,9,19,14,1.9,🗎
5,salmons-law.com,5,24,0,2.4,🗎
6,www.cshafferlaw.com,19,32,9,3.2,🗎
7,californiaduis.com,16,33,1,3.3,🗎
8,keesehargraves.com,3,12,12,1.2,🗎
9,ezerwilliamsonlaw.com,19,34,22,3.4,🗎
10,criminaldefenseheroes.com,1,1,0,0.1,🗎
11,g.co,92,65,24,6.5,🗎
12,www.kendalllaw.net,13,25,0,2.5,🗎
13,cdiglaw.com,19,27,1,2.7,🗎
14,chs.law,10,28,6,2.8,🗎
15,www.trafficcriminallawyer.com,10,25,5,2.5,🗎
16,coxlawgroupinc.com,21,26,4,2.6,🗎
17,immigrationlawhope.com,10,21,40,2.1,🗎
18,www.hahnlegal.net,11,16,0,1.6,🗎
19,www.pattoniplaw.com,1,1,0,0.1,🗎
20,www.mcgregorlawcorp.com,9,24,20,2.4,🗎
1,sbtrustlaw.com,12,16,1,1.6,🗎
2,www.rtorres-law.com,7,11,0,1.1,🗎
3,booth.law,24,33,1,3.3,🗎
4,www.portersimon.com,34,35,1,3.5,🗎
5,www.arnoldhernandez.com,20,35,28,3.5,🗎
6,www.wksexcrimes.com,39,35,0,3.5,🗎
7,www.lawdarnell.com,7,16,0,1.6,🗎
8,nmlawattorneys.com,16,29,1,2.9,🗎
9,www.mintocounselors.com,9,17,50,1.7,🗎
10,www.wklaw.com,52,52,0,5.2,🗎
11,www.bsl.law,12,18,2,1.8,🗎
12,hunsbergerlaw.com,17,25,6,2.5,🗎
13,www.mendocinocounty.org,54,47,1,4.7,🗎
14,www.universalpictures.com,79,61,4,6.1,🗎
15,www.moranmoranlaw.net,2,11,0,1.1,🗎
16,inlandempireworkerscomplawyer.com,18,30,1,3,🗎
17,www.bernheimlawfirm.com,10,25,0,2.5,🗎
18,www.lozaip.com,24,35,5,3.5,🗎
19,familylawupland.com,15,31,1,3.1,🗎
20,suzannegraves.com,16,21,16,2.1,🗎
1,www.ci.vacaville.ca.us,49,49,3,4.9,🗎
2,www.kaidenelderlaw.com,21,31,1,3.1,🗎
3,mrscvlaw.com,19,36,1,3.6,🗎
4,www.cityofvallejo.net,44,41,1,4.1,🗎
5,www.meyer.com,32,40,1,4,🗎
6,alderlaw.com,26,33,0,3.3,🗎
7,www.zapantaalderlaw.com,6,13,0,1.3,🗎
8,burgislaw.com,27,32,1,3.2,🗎
9,www.bessadalaw.com,9,19,4,1.9,🗎
10,www.liverpoollegal.com,18,36,1,3.6,🗎
11,karpmediation.com,11,31,1,3.1,🗎
12,www.scalarlearning.com,24,28,3,2.8,🗎
13,www.eleusisltd.com,35,34,3,3.4,🗎
14,www.neutralattorneyinvestigations.com,4,11,0,1.1,🗎
15,www.fcoplaw.com,30,34,4,3.4,🗎
16,pglaw.law,14,13,0,1.3,🗎
17,khventuralaw.com,14,33,1,3.3,🗎
18,www.kirwinfrancislaw.com,5,12,1,1.2,🗎
19,www.chaffinlaw.com,16,21,4,2.1,🗎
20,www.venturafamilylawyers.com,18,25,1,2.5,🗎
1,www.venturadivorceattorneys.com,21,28,2,2.8,🗎
2,www.casonlaw.org,1,1,0,0.1,🗎
3,www.zahnlaw.net,23,28,1,2.8,🗎
4,www.srllplaw.com,18,30,7,3,🗎
5,www.quirklawyers.com,23,35,0,3.5,🗎
6,calattys.com,25,30,1,3,🗎
7,johnsonblacklaw.com,5,14,17,1.4,🗎
8,hpblaw.net,13,31,6,3.1,🗎
9,www.albertgarcialawoffice.com,13,27,23,2.7,🗎
10,tularecountycounsel.org,11,28,6,2.8,🗎
11,www.nrclaw.com,8,22,28,2.2,🗎
12,thompsonandbelnaplaw.com,11,26,0,2.6,🗎
13,www.attorneypaulcampo.com,18,27,1,2.7,🗎
14,www.carriehedayati.com,4,16,0,1.6,🗎
15,www.danagreenlaw.com,13,24,1,2.4,🗎
16,www.carriehedayatilaw.com,7,8,0,0.8,🗎
17,rcjlawgroup.com,27,26,0,2.6,🗎
18,arerlaw.com,9,20,1,2,🗎
19,www.avelaw.com,10,20,1,2,🗎
20,www.bindmanlaw.com,1,10,0,1,🗎
1,mckennabrink.com,10,25,0,2.5,🗎
2,www.lanaweisslaw.com,3,9,4,0.9,🗎
3,www.cmslaw.com,23,36,1,3.6,🗎
4,www.jspvisa.com,10,24,0,2.4,🗎
5,lands.law,4,11,4,1.1,🗎
6,www.msrlegal.com,29,36,9,3.6,🗎
7,www.simonlaw.com,17,26,2,2.6,🗎
8,vanegaslaw.com,10,12,0,1.2,🗎
9,www.thinkforwardstrategies.com,4,8,0,0.8,🗎
10,theswansonlawgroup.com,14,28,1,2.8,🗎
11,www.brotherssmithlaw.com,24,26,3,2.6,🗎
12,www.stewart.com,55,55,18,5.5,🗎
13,www.zimmermanlawca.com,1,3,0,0.3,🗎
14,www.bkscal.com,18,26,83,2.6,🗎
15,www.berding-weil.com,37,38,1,3.8,🗎
16,angius-terry.com,22,33,1,3.3,🗎
17,sfbklaw.com,10,17,63,1.7,🗎
18,bkwesq.com,1,12,4,1.2,🗎
19,brionlaw.com,4,12,11,1.2,🗎
20,www.businessrealestateattorneyensberg.com,29,32,1,3.2,🗎
1,www.electrorent.com,46,49,10,4.9,🗎
2,stalwartlaw.com,18,33,1,3.3,🗎
3,goodylawgroup.com,19,23,0,2.3,🗎
4,www.economyofmind.com,8,21,28,2.1,🗎
5,www.mrtorts.com,17,27,3,2.7,🗎
6,visionarylawgroup.com,9,29,1,2.9,🗎
7,www.weho.org,61,56,6,5.6,🗎
8,www.peopleclerk.com,27,38,2,3.8,🗎
9,www.marklehmanesq.com,12,20,1,2,🗎
10,www.gusdorfflaw.com,20,24,1,2.4,🗎
11,hopkinslawgroup.com,15,22,4,2.2,🗎
12,www.atblaw.net,32,37,6,3.7,🗎
13,www.californiawagelawattorney.com,11,31,5,3.1,🗎
14,kristinakellfamilylaw.com,9,28,5,2.8,🗎
15,oakcrestlaw.com,9,27,2,2.7,🗎
16,www.vstriallaw.com,15,27,0,2.7,🗎
17,familyfirstlaw.org,16,28,49,2.8,🗎
18,www.slmfamilylaw.com,28,35,1,3.5,🗎
19,www.floydskerenlaw.com,18,30,1,3,🗎
20,www.dickerlaw.com,9,25,1,2.5,🗎
1,www.legalcounseling.com,27,34,1,3.4,🗎
2,pavlichlaw.com,2,11,0,1.1,🗎
3,www.calawandmediation.com,5,12,0,1.2,🗎
4,www.fightmastermediation.com,2,11,0,1.1,🗎
5,cervenolaw.com,7,13,5,1.3,🗎
6,www.wdbrewerlaw.com,8,16,3,1.6,🗎
7,www.colusasutteryolochildsupport.org,10,18,0,1.8,🗎
8,manzoorlawoffice.com,6,16,1,1.6,🗎
9,www.frankcrumlaw.com,13,20,1,2,🗎
10,www.yolocounty.org,56,54,11,5.4,🗎
11,rexroadlaw.com,3,5,0,0.5,🗎
12,www.jlgordonlaw.com,11,22,10,2.2,🗎
13,www.gronerlaw.net,1,1,0,0.1,🗎
14,dochollidaylaw.com,5,15,2,1.5,🗎
15,attorneyduilosangeles.com,26,35,1,3.5,🗎
16,galdrichlaw.com,19,30,4,3,🗎
17,walzermelcher.com,39,40,2,4,🗎
18,www.rodnunskylaw.com,17,28,6,2.8,🗎
19,www.sirkinlaw.com,11,36,15,3.6,🗎
20,www.goorjianlaw.com,1,1,0,0.1,🗎
1,benedonserlin.com,17,27,5,2.7,🗎
2,www.brandedcounsel.com,2,8,0,0.8,🗎
3,zfamilylawfirm.com,1,1,0,0.1,🗎
4,www.vmfirm.com,19,33,1,3.3,🗎
5,www.kraftlawoffices.com,17,32,1,3.2,🗎
6,caregiverovertime.com,15,20,2,2,🗎
7,www.bg.law,24,34,0,3.4,🗎
8,www.pralc.com,10,29,7,2.9,🗎
9,antoniareyeslaw.com,1,1,0,0.1,🗎
10,www.berglundandjohnson.com,23,31,0,3.1,🗎
11,johnpiercelaw.com,18,16,0,1.6,🗎
12,www.mccullochlaw.net,17,35,53,3.5,🗎
13,odjaghianlaw.com,22,34,1,3.4,🗎
14,www.talailaw.com,10,19,1,1.9,🗎
15,www.carlsonlawgroup.com,22,29,0,2.9,🗎
16,stonedeanlaw.com,23,32,1,3.2,🗎
17,woodsidecounsel.com,9,23,9,2.3,🗎
18,www.jarvislawyers.com,15,26,45,2.6,🗎
19,www.propertylaw.biz,3,5,63,0.5,🗎
20,www.co.siskiyou.ca.us,52,49,0,4.9,🗎
1,www.sutter.k12.ca.us,32,39,0,3.9,🗎
2,www.hm1law.com,11,26,0,2.6,🗎
3,www.kennedyforlaw.com,17,28,0,2.8,🗎
4,www.marcnortonlaw.com,5,11,39,1.1,🗎
